код;внешний код;наименование МС;чип у нашего поставщика;что у поставщиков с остатком;согласие поставщиков;варианты модели в ТК;вывод
0310cs;0310;Картридж струйный Cactus CS-C9363 №134 голубой/пурпурный/желтый (18мл);с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0311cs;0311;Картридж струйный Cactus CS-C9361 №136 многоцветный (18мл) для HP DJ 5;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0313cs;0313;Картридж струйный Cactus CS-C4844 №10 черный (72мл) для HP BIJ 1000/11;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0314cs;0314;Картридж струйный Cactus CS-C4836 №11 голубой (29мл) для HP BIJ 1000/1;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0315cs;0315;Картридж струйный Cactus CS-C4837 №11 пурпурный (29мл) для HP BIJ 1000;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0316cs;0316;Картридж струйный Cactus CS-C4838 №11 желтый (29мл) для HP BIJ 1000/11;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0317cs;0317;Картридж струйный Cactus CS-C4911 №82 голубой (72мл) для HP DJ 500/800;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0318cs;0318;Картридж струйный Cactus CS-C4912 №82 пурпурный (72мл) для HP DJ 500/8;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0319cs;0319;Картридж струйный Cactus CS-C4913 №82 желтый (72мл) для HP DJ 500/800C;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0320cs;0320;Картридж струйный Cactus CS-CH565A №82 черный (72мл) для HP DJ 510 с ч;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0320t2;0320;IC-H565 Картридж T2 №82 для HP Designjet 111/510/510ps, черный, с чипо;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0321cs;0321;Картридж струйный Cactus CS-C4906 №940XL черный пигментный (72мл) для ;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0322cs;0322;Картридж струйный Cactus CS-C4907 №940XL голуб.пигм. (30мл) для HP Off;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0323cs;0323;Картридж струйный Cactus CS-C4908 №940XL пурп.пигм. (30мл) для HP Offi;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0324cs;0324;Картридж струйный Cactus CS-C4909 №940XL желт.пигм. (30мл) для HP Offi;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0325cs;0325;Картридж струйный Cactus CS-CD975 №920XL черный (56.6мл) для HP DJ 600;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0326cs;0326;Картридж струйный Cactus CS-CD972 №920XL синий (14.6мл) для HP DJ 6000;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0327cs;0327;Картридж струйный Cactus CS-CD973 №920XL пурпурный (14.6мл) для HP DJ ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0329cs;0329;Картридж струйный Cactus CS-CB322N(CS-CB322) №178XL фото черный (14.6м;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0329t2;0329;IC-H322 Картридж T2 №178XL для HP Photosmart 7510/B8553/B8558/6383/C30;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0330cs;0330;Картридж струйный Cactus CS-CB323N(CS-CB323) №178XL синий (14.6мл) для;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
0330ep;0330;Картридж EasyPrint IH-323 №178XL для HP Deskjet 3070A/Photosmart 5510/;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
