поставщик;артикул;наименование;штук;документ;категория;код МС;внешний код (мусор);вариантов;вариант 1 код;вариант 1 наименование;вариант 1 вердикт;вариант 2 код;вариант 2 наименование;вариант 3 код;вариант 3 наименование
bulat;DFKYEP2040100;Блок проявки БУЛАТ DV-1150 (302RV93020) для Kyocera ECOSYS P2040, M2040, P2235 (100000 стр.);100.0;bulat_2026-08-18_p15;;;Pd-PPdc6iIrnTXuTK5B6e2;8;5600;Блок проявки Kyocera ECOSYS P2040/M2040/P2235 DV-1150 (302RV93020) (100k) (OD);"не указано в каталоге: цвет, чип; из каталога ТК: цвет, ресурс/объём, бренд";2965;Драм-картридж EasyPrint DK-1150 для Kyocera ECOSYS P2040/2235/2635/M2040/2135/2540/2640/2635/2640 (100000 стр.) DK-1150/DK-1160/DK-1170;5311;Сервисный комплект Kyocera MK-1150 для Ecosys M2040/2135/2540/2635/2640/2735/P2040, 100к, Blossom;
bulat;DFKYEP4040020;Блок проявки БУЛАТ DV-7300 (302P793080) для Kyocera ECOSYS P4040;20.0;bulat_2026-08-18_p11;;;fGDyeRiTgLKJMEvh9QXks3;2;2232;Картридж Kyocera TK7300 EcoSys-P4040 15K SuperFine;"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";5556;Драм-юнит БУЛАТ DK-7300 для Kyocera ECOSYS P4040 (302P793060, 302P793061, 302P793062, 302P793063, 302P793064);;;
bulat;DFRCAF1015010;Драм-картридж БУЛАТ s-Line 2015, MP2000 (B2592210, B2592200) для Ricoh Aficio 1015, MP 1500, MP 1900 (Чёрный, 60000 стр.), в сборе с барабаном и девелопером, универсальный, ref.;50.0;bulat_2026-08-18_p5;;;T5kNo0Y5hZIWDNJYbssw61;2;2892;Картридж Ricoh 1015 для Aficio 1015/1018/1113/1115/MP2000, drum unit black, 60000 стр.,Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";0682;Тонер-картридж Hi-Black (HB-Type 1230D) для Ricoh Aficio 2015/2018/MP1500, туба, 9K;;;
bulat;DFRCAF1022030;Блок проявки БУЛАТ s-Line MP3353 (нижняя часть) для Ricoh Aficio 1022, MP 3353 (Чёрный, 60000 стр.);20.0;bulat_2026-08-18_p8;;;sEir9bIvj6sV16McavAzP0;2;2892;Драм-картридж БУЛАТ s-Line 1022, MP2352, MP3353 (411018, 412271) для Ricoh Aficio 1022, MP 2352 (Чёрный, 60000 стр.), в сборе с барабаном и девелопером, универсальный, ref.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";0683;Картридж NVP совместимый NV-MP3353;;;
bulat;DFRCMP2554020;Драм-картридж БУЛАТ s-Line MP2554, MP3554 (D8690122, D2020124) для Ricoh Aficio MP 2554, MP 3554 (Чёрный, 50000 стр.) в сборе с барабаном и c девелопером, универсальный, ref.;50.0;bulat_2026-08-18_p8;;;rSD7Z7LMhSFPZA1tnXJT60;1;2894;Тонер-картридж EasyPrint LR-MP3554 для Ricoh MP2554/3054/3554 (24000стр.);"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;DFRX000D95020;Драм-картридж БУЛАТ s-Line 013R00668, 013R00666 для Xerox D95, совместимый;50.0;bulat_2026-08-18_p12;;;FV3GX0qljLR23AgglRRlF1;1;5737;Картридж для Xerox 013R00668/013R00666 D-95/110/125/136 DRUM White Box (Совместимый);"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;DFRXVL7125020;Драм-картридж БУЛАТ s-Line 013R00687 для Xerox VersaLink B7125 (Чёрный, 80000 стр.), ref.;51.0;bulat_2026-08-18_p16;;;HrM1VaK3h0-qCZTUtwVtk1;1;5845;Тонер-картридж БУЛАТ s-Line 006R01819 для Xerox VersaLink B7125 (Чёрный, 31000 стр.);"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";;;;;
bulat;DFRXWC5225030;Драм-картридж БУЛАТ s-Line 101R00435 для Xerox WC 5225 (Чёрный, 80000 стр), ref.;50.0;bulat_2026-08-18_p10;;;r5zIGC0-gPqhb3LyXqMgS1;2;1087;Картридж лазерный Cactus CS-WC5222XR 101R00435 черный бар.в компл. (80000стр.) для Xerox WC 5222/5230;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6709;Комплект фотобарабан 101R00435 DU + картридж 106R01305 Xerox;;;
bulat;DFSHMX2301010;Тонер-картридж БУЛАТ s-Line MX-31GTBA для Sharp MX-2301 (Чёрный, 18000 стр.), совместимый;20.0;bulat_2026-08-18_p6;;;11y9zyZ8gCUyCPth6j7r02;0;;;;;;;;
bulat;DFSHMX2301020;Тонер-картридж БУЛАТ s-Line MX-31GTCA для Sharp MX-2301 (Голубой, 15000 стр.), совместимый;20.0;bulat_2026-08-18_p6;;;R37KZJJVgDehKb7PTl9023;0;;;;;;;;
bulat;DFSHMX2301030;Тонер-картридж БУЛАТ s-Line MX-31GTMA для Sharp MX-2301 (Пурпурный, 15000 стр.), совместимый;20.0;bulat_2026-08-18_p6;;;GODn5VDfgAf6cJa8abVGJ0;0;;;;;;;;
bulat;DFTSES2822010;Тонер-картридж БУЛАТ s-Line T-2822E для Toshiba e-Studio 2822 (Чёрный, 17500 стр.), совместимый;50.0;bulat_2026-08-18_p10;;;BFRDCtICgW9HEemDRF17z2;0;;;;;;;;
bulat;EAMN00C654020;Тонер-картридж БУЛАТ s-Line TNP711C для Konica Minolta bizhub C654, C754 (Голубой, 31500 стр.);20.0;bulat_2026-08-18_p5;;;1YkUYLsJh0eaVdM61zINn3;1;2131;Картридж Konica Minolta TN-711C для C654/754/Pro C754, cyan, 31500 стр, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EAMN00C654030;Тонер-картридж БУЛАТ s-Line TNP711M для Konica Minolta bizhub C654, C754 (Пурпурный, 31500 стр.);20.0;bulat_2026-08-18_p5;;;1R85UXgQgpck-wNyMwcUE1;1;2133;Картридж Konica Minolta TN-711M для C654/754/Pro C754, magenta, 31500 стр, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EAMN00C654040;Тонер-картридж БУЛАТ s-Line TNP711Y для Konica Minolta bizhub C654, C754 (Жёлтый, 31500 стр.);20.0;bulat_2026-08-18_p5;;;-DP-NtZCjlzgubFyKOK5e1;1;2134;Картридж Konica Minolta TN-711Y для C654/754/Pro C754, yellow, 31500 стр, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EAMNBZ3350080;Тонер-картридж БУЛАТ s-Line TNP48Y для Konica Minolta bizhub C3350, C3850 (Жёлтый, 10000 стр.);20.0;bulat_2026-08-18_p5;;;AJseZO4tiVoCaXhfe-NX51;1;6226;Картридж лазерный CopyRite CR-KMTNP48Y TNP-48Y желтый (10000стр.) для Konica Minolta bizhub С3350/С3850;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EARCMP4501020;Тонер-картридж БУЛАТ s-Line MP C5501E (841459) для Ricoh Aficio MP C4501, MP C5501 (Голубой, 18000 стр.);20.0;bulat_2026-08-18_p3;;;UpdmFsKxgS5XuzLSUSY272;1;4810;Картридж лазерный Cactus CS-MPC5501EC 842051 голубой (18000стр.) для Ricoh MPС 4501/C5501;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EARCMP4501030;Тонер-картридж БУЛАТ s-Line MP C5501E (841458) для Ricoh Aficio MP C4501, MP C5501 (Пурпурный, 18000 стр.);20.0;bulat_2026-08-18_p3;;;1qwVEjJnjhgd7iBIPvmYV2;1;4811;Картридж лазерный Cactus CS-MPC5501EM 842050 пурпурный (18000стр.) для Ricoh MPС 4501/C5501;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EARCMP4501040;Тонер-картридж БУЛАТ s-Line MP C5501E (841457) для Ricoh Aficio MP C4501, MP C5501 (Жёлтый, 18000 стр.);20.0;bulat_2026-08-18_p3;;;x55stqt1jLKUMnoBMFLhq2;2;4812;Картридж лазерный Cactus CS-MPC5501EY 842049 желтый (18000стр.) для Ricoh MPС 4501/C5501;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5064;Картридж Konica Minolta TN-610/612Y для Bizhub Pro C5500/C5501/6500/6501, 25000 стр. yellow, Blossom;;;
bulat;EFCN0C5030010;Тонер-картридж БУЛАТ s-Line C-EXV29K для Canon iR C5030 (Чёрный, 36000 стр.);50.0;bulat_2026-08-18_p2;;;-Zc9orQDj1b3cjevC98YS1;3;1961;Картридж Canon C-EXV29Bk для iR C5030/C5035,black, 36000 стр., Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6378;Комплект картриджей C-EXV29 Canon;4494;Драм-картридж PL-C-EXV29/28 для принтеров Canon iR Advance-C5030/C5035/C5235/C5240/C5045/C5051 Black/Cyan/Magenta/Yellow Drum 171000/59000 копий ProfiLine;
bulat;EFCN0C5840050;Тонер-картридж БУЛАТ s-Line C-EXV58L для Canon iR DX C5840i (Голубой, 26000 стр.);20.0;bulat_2026-08-18_p16;;;fK8hvKBMjpDAWMNGNyeXh3;2;4889;Картридж лазерный Cactus CS-EXV58C голубой (60000стр.) для Canon IR ADVANCE DX C5840i/5850/5870I с чипом;"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";6440;Драм-картридж Canon iR DX C5840i C-EXV58 B/C/M/Y Universal;;;
bulat;EFCN0C5840060;Тонер-картридж БУЛАТ s-Line C-EXV58L для Canon iR DX C5840i (Пурпурный, 26000 стр.);20.0;bulat_2026-08-18_p16;;;37rwIuHXi4i2TBz9kgjo01;1;4890;Картридж лазерный Cactus CS-EXV58M пурпурный (60000стр.) для Canon IR ADVANCE DX C5840i/5850/5870I с чипом;"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFCN0C5840070;Тонер-картридж БУЛАТ s-Line C-EXV58L для Canon iR DX C5840i (Жёлтый, 26000 стр.);20.0;bulat_2026-08-18_p16;;;VIYZSg48ijBlYC1PkxrYq2;1;4891;Картридж лазерный Cactus CS-EXV58Y желтый (60000стр.) для Canon IR ADVANCE DX C5840i/5850/5870I с чипом;"НЕ СОВПАЛО: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFCNIR1225050;Драм-картридж БУЛАТ s-Line 034K для Canon iR C1225 (Чёрный, 34000 стр.), ref.;50.0;bulat_2026-08-18_p9;;;vRNfITP7iTq6kYxfcol-y3;1;3021;Тонер-картридж БУЛАТ s-Line 034K для Canon iR C1225 (Чёрный, 12000 стр.);"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFKM00C258070;Блок проявки БУЛАТ s-Line DV313K для Konica Minolta bizhub C258 (Чёрный, 600000 стр.), ref.;20.0;bulat_2026-08-18_p7;;;CTW6-iLhiTOCW7AZsLc7q1;8;5507;Блок девелопера БУЛАТ s-Line DV512K для Konica Minolta bizhub C224 (Чёрный, 600000 стр.), ref.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";5512;*Восстановленный* Блок проявки БУЛАТ s-Line DV214, D216 для Konica Minolta bizhub C227i, C257i (Чёрный, 600000 стр.), ref.;6335;Блок фотобарабана Cactus CS-DK7125 DK-7125 (302V693020) черный ч/б:600000стр. для TASKalfa 3212i/4012i Kyocera;
bulat;EFKM00C258080;Блок проявки БУЛАТ s-Line DV313C для Konica Minolta bizhub C258 (Голубой, 600000 стр.), ref.;20.0;bulat_2026-08-18_p7;;;z6qNLCC0gTZ2f3qH4Gs5q3;3;5508;*Восстановленный* Блок девелопера БУЛАТ s-Line DV512C для Konica Minolta bizhub C224 (Голубой, 600000 стр.), ref.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";2639;TC-MTN-324C Тонер-картридж T2 для Konica-Minolta BizHub C258/C458/C558/C658 (26000 стр.) голубой, с чипом;4824;Драм-картридж Konica Minolta bizhub C258 DR313 C/M/Y (OPC AEG) БУЛАТ s-Line;
bulat;EFKM00C258100;Блок проявки БУЛАТ s-Line DV313Y для Konica Minolta bizhub C258 (Жёлтый, 600000 cтр.), ref.;50.0;bulat_2026-08-18_p7;;;fVt7mU3KhdzvL-nCedaCz3;2;5510;*Восстановленный* Блок девелопера БУЛАТ s-Line DV512Y для Konica Minolta bizhub C224 (Жёлтый, 600000 стр.), ref.;"не указано в каталоге: ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";2641;TC-MTN-324Y Тонер-картридж T2 для Konica-Minolta BizHub C258/C458/C558/C658 (26000 стр.) желтый, с чипом;;;
bulat;EFKMBZ3351050;Драм-картридж БУЛАТ IUP-24(A95X01D) для Konica Minolta bizhub C3351 (Чёрный, 60000 стр.), ref.;20.0;bulat_2026-08-18_p13;;;MUtMqGhdhSRqec66PIDh90;1;5083;Картридж Konica Minolta TNP-49K для Bizhub C3351/3851, black, 13000 стр.,Blossom;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFKMBZ3351070;Драм-картридж БУЛАТ IUP-24 (A95X0CD) для Konica Minolta bizhub C3351 (Пурпурный, 50000 стр.), ref.;20.0;bulat_2026-08-18_p13;;;k7PybIwFjTehhYSS6pF5N0;1;5085;Картридж Konica Minolta TNP-49M для Bizhub C3351/3851, magenta, 12000 стр.,Blossom;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFKMBZ3351080;Драм-картридж БУЛАТ IUP-24(A95X06D) для Konica Minolta bizhub C3351 (Жёлтый, 50000 стр.), ref.;20.0;bulat_2026-08-18_p13;;;Dq1OU4SJi7VyEXXFMK3mJ3;1;5084;Тонер-картридж Konica Minolta TNP-49Y для Bizhub C3351/3851, Y, 12K, Blossom;"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFKMBZC659030;Тонер-картридж БУЛАТ s-Line TN713M для Konica Minolta bizhub C659 (Пурпурный, 33200 стр.);20.0;bulat_2026-08-18_p11;;;i74jVPPAiCdSRJtqdsv-P2;1;5079;Картридж Konica Minolta TN-713M для Minolta bizhub C659/759/AP C759, magenta, 33200 стр, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFKMBZC659040;Тонер-картридж БУЛАТ s-Line TN713Y для Konica Minolta bizhub C659 (Жёлтый, 33200 стр.);20.0;bulat_2026-08-18_p11;;;9CPSvcEQiDakzH7lH3QHE0;1;5080;Картридж Konica Minolta TN-713Y для Minolta bizhub C659/759/AP C759, yellow, 33200 стр, Blossom;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;EFKYEP8060170;Драм-картридж БУЛАТ DK-8550 для Kyocera ECOSYS P8060c, TASKalfa 4052ci, ref.;50.0;bulat_2026-08-18_p13;;;87iIs6m9gDujkJPFjeIwb2;8;6264;Блок фотобарабана Cactus CS-DK8550 DK-8550/302ND93072 черный ч/б:600000стр. для ECOSYS P4060dn/P8060cdn, TASKalfa 5002i/6002i/5003i/6003i/3552ci/4052ci/5052ci/6052ci/4053ci/5053ci/6053ci Kyocera;"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: ресурс/объём, бренд";3408;Тонер-картридж Smart Graphics TK-8800K для Kyocera ECOSYS P8060 (Чёрный, 30000 стр.), совместимый;3410;Тонер-картридж PL-TK-8800M для принтеров Kyocera ECOSYS P8060 Magenta 20000 копий ProfiLine;
bulat;EFLX0CS923060;Драм-картридж БУЛАТ s-Line 76C0PV0 для Lexmark CS, CX923 (Цветной, 90000 стр.), совместимый, под заказ;20.0;bulat_2026-08-18_p12;;;lOTaAo2RigOJZ19qi6MlA0;8;6995;Комплект фотобарабаны 76C0P + картриджи 76C0HK0-76C0PK0 Lexmark;"не указано в каталоге: цвет, чип; из каталога ТК: ресурс/объём, бренд";6994;Набор фотобарабанов 76C0PK0-76C0PV0 для Lexmark;6594;Блок фотобарабана NN-76C0PV0 цв:90000стр. для CS92x/CX92x Lexmark;
