код;внешний код;наименование МС;Название WB (соберём);бренды ТК
;0164;Совместимый картридж Cactus T0824;Картридж T0824 для Epson желтый с чипом;Epson
;0164;Совместимый картридж Colortek T0814;Картридж T0824 для Epson желтый с чипом;Epson
;0164;Совместимый картридж Colortek T0824;Картридж T0824 для Epson желтый с чипом;Epson
;0164;Совместимый картридж SuperFine T0814;Картридж T0824 для Epson желтый с чипом;Epson
;0164;Совместимый картридж SolutionPrint T0824;Картридж T0824 для Epson желтый с чипом;Epson
;0165;Совместимый картридж SuperFine T0825;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0165;Совместимый картридж Cactus T0825;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0165;Совместимый картридж Colortek T0815;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0165;Совместимый картридж Colortek T0825;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0165;Совместимый картридж SuperFine T0815;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0165;Совместимый картридж SolutionPrint T0825;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0165;Совместимый картридж SuperFine T0825;Картридж T0825 для Epson T0815 светло-голубой с чипом;Epson
;0166;Совместимый картридж SuperFine T0826;Картридж T0826 для Epson T0816 светло-пурпурный с чипом;Epson
;0166;Совместимый картридж Cactus T0826;Картридж T0826 для Epson T0816 светло-пурпурный с чипом;Epson
;0166;Совместимый картридж Colortek T0816;Картридж T0826 для Epson T0816 светло-пурпурный с чипом;Epson
;0166;Совместимый картридж Colortek T0826;Картридж T0826 для Epson T0816 светло-пурпурный с чипом;Epson
;0166;Совместимый картридж SuperFine T0816;Картридж T0826 для Epson T0816 светло-пурпурный с чипом;Epson
;0166;Совместимый картридж SolutionPrint T0826;Картридж T0826 для Epson T0816 светло-пурпурный с чипом;Epson
;0182;Совместимый картридж SuperFine PG-40;Картридж PG-40BK для Canon 0615B043 черный;Canon
;0182;Совместимый картридж Colortek PG-40;Картридж PG-40BK для Canon 0615B043 черный;Canon
;0182;Совместимый картридж Colortek PG-40;Картридж PG-40BK для Canon 0615B043 черный;Canon
0182-or;0182;Картридж PG-40 BK OR;Картридж PG-40BK для Canon 0615B043 черный;Canon
;0183;Совместимый картридж SuperFine CL-41;Картридж CL-41 для Canon 0615B043 цветной;Canon
;0183;Совместимый картридж Colortek CL-41;Картридж CL-41 для Canon 0615B043 цветной;Canon
;0183;Совместимый картридж Colortek CL-41;Картридж CL-41 для Canon 0615B043 цветной;Canon
0183-or;0183;Картридж CL-41 Col OR;Картридж CL-41 для Canon 0615B043 цветной;Canon
;0184;Совместимый картридж Colouring CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж ProfiLine CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж SuperFine CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж SolutionPrint CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж Cactus CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж ProfiLine CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж Colortek CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж Cactus CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0184;Совместимый картридж InkTec CLI-426BK;Картридж CLI-426BK для Canon 4556B001 черный;Canon
;0185;Совместимый картридж SuperFine CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0185;Совместимый картридж SolutionPrint CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0185;Совместимый картридж Cactus CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0185;Совместимый картридж ProfiLine CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0185;Совместимый картридж Colortek CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0185;Совместимый картридж Cactus CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0185;Совместимый картридж InkTec CLI-426C;Картридж CLI-426C для Canon 4557B001 голубой;Canon
0185sf;0185;Картридж Canon CLI-42 PIXMA-PRO-100 Photo Cyan SuperFine;Картридж CLI-426C для Canon 4557B001 голубой;Canon
;0186;Совместимый картридж SuperFine CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0186;Совместимый картридж SolutionPrint CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0186;Совместимый картридж ProfiLine CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0186;Совместимый картридж Cactus CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0186;Совместимый картридж Colortek CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0186;Совместимый картридж Cactus CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0186;Совместимый картридж InkTec CLI-426M;Картридж CLI-426M для Canon 4558B001 пурпурный;Canon
;0187;Совместимый картридж SuperFine CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
;0187;Совместимый картридж SolutionPrint CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
;0187;Совместимый картридж Cactus CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
;0187;Совместимый картридж ProfiLine CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
;0187;Совместимый картридж Colortek CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
;0187;Совместимый картридж Cactus CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
;0187;Совместимый картридж InkTec CLI-426Y;Картридж CLI-426Y для Canon 4559B001 желтый;Canon
0189-or;0189;Картридж T1282 голубой Orig.;Картридж T1282 для Epson C13T12824011 голубой с чипом;Epson
0190-or;0190;Картридж T1283 пурпурный Orig.;Картридж T1283 для Epson C13T12834011 пурпурный с чипом;Epson
0191-or;0191;Картридж T1284 желтый Orig.;Картридж T1284 для Epson C13T12844011 желтый с чипом;Epson
;0192;* Восстановленный картридж Colortek 121XL Bk;Картридж 121XL для HP CC641HE черный XL ресурс;HP
;0192;* Восстановленный картридж SuperFine 121XL Bk;Картридж 121XL для HP CC641HE черный XL ресурс;HP
;0193;* Восстановленный картридж Colortek 121XL Col;Картридж 121XL для HP CC644HE цветной XL ресурс;HP
;0194;* Восстановленный картридж ProfiLine 56;Картридж 56 для HP C6656A черный;HP
;0194;* Восстановленный картридж Colortek C6656AE;Картридж 56 для HP C6656A черный;HP
;0194;* Восстановленный картридж Colortek 56;Картридж 56 для HP C6656A черный;HP
;0194;* Восстановленный картридж Cactus 56;Картридж 56 для HP C6656A черный;HP
;0195;* Восстановленный картридж Colouring 57;Картридж 57 для HP C6657A цветной;HP
